id,pdf,question,answer,ground_truth,guard_status,source_page,faithfulness,answer_relevancy,context_precision
q001,fraudulent_job_messages_samples.pdf,What is the Equipment Check email scam?,"Insufficient evidence in the provided document to determine what the Equipment Check email scam is. However, there are examples of common recruitment scams, including ""The High-Pay SMS Hook"", which may be similar but not necessarily the same as the Equipment Check email scam.","The Equipment Check scam involves a fake job offer where the candidate is told a certified check for $4,500 will be mailed to purchase home office equipment, and then asked to send the remaining balance to a vendor via Zelle or Wire Transfer.",OK,1,0.6,0.2,0.9
q002,fraudulent_job_messages_samples.pdf,What platform does the High-Pay SMS Hook scam direct victims to?,"Insufficient evidence in the provided document to determine what platform the High-Pay SMS Hook scam directs victims to, as the text only describes a template for the scam message.",The High-Pay SMS Hook scam directs victims to contact a manager on Telegram.,OK,1,0.8,0.8,0.9
q003,fraudulent_job_messages_samples.pdf,What hourly pay range is advertised in the High-Pay SMS Hook scam?,"The hourly pay range advertised in the High-Pay SMS Hook scam is $35–$70 per hour. 

[#][1], [#][2], [#][3], [#][4], and [#][5] all mention this pay range.",The scam advertises a pay rate of $35 to $70 per hour.,OK,1,0.8,0.9,0.9
q004,fraudulent_job_messages_samples.pdf,What does the Task-Based WhatsApp scam promise workers can earn daily?,"According to the evidence, the Task-Based WhatsApp scam promises workers can earn $200 daily by working only 30-60 minutes a day from home. [1], [2], [3], [4], and [5] all mention this promise in relation to the ""Task-Based"" WhatsApp Scam.",The scam claims workers can earn $200 daily by working only 30 to 60 minutes a day from home.,OK,2,0.8,0.9,0.9
q005,fraudulent_job_messages_samples.pdf,What is the Reshipping scam and what monthly salary does it advertise?,"The Reshipping scam is not explicitly mentioned in the provided evidence, but it appears to be similar to the ""High-Pay SMS Hook"" described in [1] through [5]. This scam involves a message claiming to be from Amazon HR, offering a Remote Assistant position with pay ranging from $35–$70 per hour.","The Reshipping scam presents itself as a Logistics Manager role where victims receive packages at home and reship them to international addresses, advertising a salary of $3,000 per month.",OK,2,0.2,0.8,0.8
q006,fraudulent_job_messages_samples.pdf,What does the safety checklist say about legitimate companies and equipment costs?,Insufficient evidence in the provided document.,Legitimate companies will never ask you to pay for equipment via a check-and-refund scheme.,OK,2,0.5,0.5,0.0
q007,fraudulent_job_messages_samples.pdf,What does the safety checklist recommend doing to verify a suspicious job posting?,Insufficient evidence in the provided document.,The checklist recommends searching the job title plus the word scam online to see if others have reported similar messages.,OK,2,0.5,0.5,0.8
q008,fraudulent_job_messages_samples.pdf,How can you verify whether an email job offer is from a legitimate company?,"Insufficient evidence in the provided document to directly answer how to verify whether an email job offer is from a legitimate company. However, based on the examples of fraudulent job messages, it can be inferred that red flags include:

* Unsolicited contact with promises of high pay
* Lack of specific details about the position or company
* Requests for personal or financial information

To verify legitimacy, one could research the company's official website and social media to see if they are posting similar job openings. They could also contact the company directly through a verified phone number or email address listed on their official website.",You should verify that the sender's email domain matches the official company website.,OK,2,0.8,0.8,0.8
q009,fraudulent_job_messages_samples.pdf,What age requirement is stated in the Task-Based WhatsApp scam?,"The age requirement stated in the Task-Based WhatsApp scam is 20+ years old. 

[#] [1], [2], [3], [4], and [5].",The scam states that applicants must be 20 years old or older.,OK,2,0.8,0.8,0.9
q010,fraudulent_job_messages_samples.pdf,What messaging platforms does the safety checklist warn are inappropriate for legitimate hiring?,"Insufficient evidence in the provided document to determine which messaging platforms are specifically warned as inappropriate for legitimate hiring. The examples of fraudulent job messages are presented, but they do not mention specific platforms or warn against using them for legitimate hiring.",The checklist warns that legitimate hiring processes rarely occur exclusively over Telegram or WhatsApp.,OK,2,0.8,0.8,0.8
